14,"MARCOS LEGAIS EM BIOTECNOLOGIA E PATENTES"
14,"LOGISTICA E GESTAO DE REDES DE SUPRIMENTOS II"
14,"LINGUISTICA"
14,"LEG.AMBIENTAL APL.A PESCA E AQUICULTURA (1200193)"
14,"INTRODUCAO AS FUNCOES DE VARIAS VARIAVEIS"
14,"GESTAO DE PESSOAS  I (1200482)"
14,"FLUIDOS DE PERFURACAO E COMPLETACAO"
14,"ESTUDOS DE IMPACTO AMBIENTAL"
14,"ERGONOMIA (1200295)"
14,"ENGENHARIA BIOQUIMICA"
14,"ECOLOGIA FLORESTAL"
14,"DIREITO PENAL IV"
14,"DIREITO EMPRESARIAL I"
14,"DIREITO AMBIENTAL (1200075)"
14,"CONTABILIDADE AMBIENTAL E RESPONSABILIDADE SOCIAL"
14,"COMPILADORES"
14,"CELULAS A COMBUSTIVEL"
14,"BIOTECNOLOGIA VEGETAL"
14,"AVALIACAO DE FORMACOES"
14,"AUDITORIA AMBIENTAL E ECOLOGICA"
14,"ARITMETICA I"
14,"ALIMENTOS, AMBIENTE E SOCIEDADE"
13,"TRANSFERENCIA DE CALOR (1200401)"
13,"TOPICOS ESPECIAIS EM ENGENHARIA DE PRODUCAO"
13,"TERMODINAMICA PARA ENGENHARIA QUIMICA II"
13,"TEORIA DOS NÚMEROS"
13,"SOCIOLOGIA JURIDICA"
13,"SISTEMAS DE ESGOTO E DRENAGEM URBANA"
13,"SEMENTES FLORESTAIS"
13,"SAÚDE & CICLOS DE VIDA II"
13,"SALINIZACAO E DRENAGEM"
13,"RESOLUCAO DE PROBLEMAS"
13,"PROJETO E ADMINISTRACAO DE BANCO DE DADOS"
13,"PROJETO DE PROCESSOS"
13,"PROCESSOS QUIMICOS INDUSTRIAIS"
13,"PROCESSAMENTO DE PETROLEO"
13,"PLANEJAMENTO DE PROJETOS BIOTECNOLOGICOS"
13,"PATOLOGIA CLINICA (1200095)"
13,"OPERACOES UNITARIAS III"
13,"OBRAS EM TERRA (1200132)"
13,"NANOBIOTECNOLOGIA"
13,"MICROBIOLOGIA AGRICOLA"
13,"MATEMATICA DISCRETA (1200780)"
13,"MAQUINAS TERMICAS II"
